Jock,Scottish
Joe,Americans
Johk Sing,Chinese
John Deere,Whites
John Redcorn,Native Americans
John Rocker,Whites
Johnny Bull,English
Johnny Reb,Whites
JOJ,Immigrants
Jr. Mint,Blacks
Juan Valdez,Hispanics
Juba,Blacks
Juban,Mixed Races
JUBU,Jews
Jughead,Koreans
Julab,Indians
July Ham,Blacks
Jumbo Jaws,Americans
Jump-up,Jamaicans
Jumping Bean,Mexicans
June Bug,Blacks
Jungle Bunny,Blacks
Junta,Asians
Justin Igger,Blacks
Kaaskop,Dutch
Kabloonuk,Whites
Kabob,Armenians
Kaek,Indians
Kaffer/ir,Blacks
Kaffir,Blacks
Kafir,Africans
Kaiser,Germans
Kala,Blacks
Kaliali,Indians
Kalu,Indians
Kamikaze,Japanese
Kanak,Hawaiians
Kanaka,Hawaiians
Kangaroo,Australians
Kango,Whites
Kangy,Australians
Kano,Americans
Kartoffel,Germans
Katsap,Russians
Katwa,Muslims
Katzenfresser,Italians
Keebler,Whites
Kees,Dutch
Kekeke,Koreans
Kermit,French
Kerpal,Pakistanis
KFC,Blacks
Khao-Khao,Whites
Khmerican,Cambodians
Khokhol,Ukrainians
Ki Yi,Native Americans
Kike,Jews
Killer Bee,Mexicans
Kilt,Scottish
Kimchee,Koreans
Kingfish,Blacks
Kink,Koreans
Kink,Mixed Races
Kirby,Blacks
Kitchen Sink,Chinese
Kiwi,New Zealanders
Kizzy,Blacks
Klondyke,Eskimos
Klooch,Native Americans
Knee Jerk,Native Americans
Knees,Asians
Knees Grow,Blacks
Knuckle-Dragger,Blacks
Koala,Australians
Kobe,Blacks
Kogut,Ukrainians
Koku-jin,Blacks
Kook,Whites
Koolaid,Blacks
Koona,Australian Aboriginals
Koorie,Australian Aboriginals
Kooshi,Blacks
Kosher Konsumer,Jews
Koshie,Jews
Kossy,Germans
Kotonk,Japanese
Kraftwerk,Germans
Kraut,Germans
Kukolokod,Native Americans
Kullemaia,Estonians
Kumar,Indians
Kung-fu,Chinese
Kunta (Kinte),Blacks
Kurad,Estonians
